
[INFO] Processing chr1: /quobyte/bmhenngrp/from-lssc0/data/genomes/CAAPA_freeze2_PHASED_common_rare/snps/chr1.20240612_Freeze2.common_rare_phased.snps.vcf.gz
[INFO] chr1: Writing allele frequency table...

0it [00:00, ?it/s]
190it [00:00, 1896.63it/s]
380it [00:00, 1892.41it/s]
570it [00:00, 1884.48it/s]
761it [00:00, 1894.41it/s]
951it [00:00, 1883.86it/s]
1143it [00:00, 1893.86it/s]
1335it [00:00, 1900.10it/s]
1526it [00:00, 1896.39it/s]
1721it [00:00, 1911.24it/s]
1921it [00:01, 1936.55it/s]
2118it [00:01, 1946.11it/s]
2313it [00:01, 1936.52it/s]
2507it [00:01, 1919.46it/s]
2701it [00:01, 1924.79it/s]
2894it [00:01, 1911.47it/s]
3086it [00:01, 1908.07it/s]
3277it [00:01, 1908.41it/s]
3469it [00:01, 1911.83it/s]
3661it [00:01, 1901.99it/s]
3852it [00:02, 1899.98it/s]
4044it [00:02, 1905.61it/s]
4235it [00:02, 1903.75it/s]
4427it [00:02, 1906.06it/s]
4620it [00:02, 1912.02it/s]
4812it [00:02, 1908.04it/s]
5003it [00:02, 1903.17it/s]
5197it [00:02, 1913.22it/s]
5389it [00:02, 1903.69it/s]
5580it [00:02, 1901.63it/s]
5771it [00:03, 1896.55it/s]
5961it [00:03, 1890.87it/s]
6151it [00:03, 1889.54it/s]
6340it [00:03, 1889.41it/s]
6529it [00:03, 1888.01it/s]
6720it [00:03, 1893.68it/s]
6910it [00:03, 1894.02it/s]
7100it [00:03, 1894.61it/s]
7290it [00:03, 1889.91it/s]
7479it [00:03, 1883.74it/s]
7668it [00:04, 1880.81it/s]
7857it [00:04, 1877.84it/s]
8047it [00:04, 1883.63it/s]
8240it [00:04, 1894.61it/s]
8430it [00:04, 1893.93it/s]
8620it [00:04, 1891.76it/s]
8810it [00:04, 1885.83it/s]
8999it [00:04, 1879.12it/s]
9187it [00:04, 1874.77it/s]
9375it [00:04, 1872.72it/s]
9563it [00:05, 1872.73it/s]
9752it [00:05, 1876.50it/s]
9940it [00:05, 1875.27it/s]
10128it [00:05, 1876.53it/s]
10317it [00:05, 1879.38it/s]
10508it [00:05, 1888.39it/s]
10699it [00:05, 1891.85it/s]
10890it [00:05, 1896.53it/s]
11082it [00:05, 1900.86it/s]
11273it [00:05, 1893.61it/s]
11463it [00:06, 1892.31it/s]
11653it [00:06, 1746.14it/s]
11839it [00:06, 1776.60it/s]
12020it [00:06, 1784.30it/s]
12211it [00:06, 1818.30it/s]
12400it [00:06, 1838.39it/s]
12590it [00:06, 1856.40it/s]
12778it [00:06, 1861.33it/s]
12969it [00:06, 1874.68it/s]
13158it [00:06, 1878.62it/s]
13347it [00:07, 1876.52it/s]
13539it [00:07, 1887.27it/s]
13728it [00:07, 1882.65it/s]
13918it [00:07, 1886.48it/s]
14108it [00:07, 1890.46it/s]
14298it [00:07, 1892.99it/s]
14488it [00:07, 1892.37it/s]
14681it [00:07, 1903.54it/s]
14872it [00:07, 1898.49it/s]
15063it [00:07, 1901.14it/s]
15254it [00:08, 1902.48it/s]
15445it [00:08, 1902.00it/s]
15636it [00:08, 1893.69it/s]
15826it [00:08, 1888.51it/s]
16015it [00:08, 1877.49it/s]
16203it [00:08, 1868.70it/s]
16390it [00:08, 1863.48it/s]
16579it [00:08, 1869.59it/s]
16768it [00:08, 1873.92it/s]
16957it [00:08, 1878.63it/s]
17146it [00:09, 1880.60it/s]
17338it [00:09, 1889.82it/s]
17531it [00:09, 1899.21it/s]
17723it [00:09, 1903.67it/s]
17914it [00:09, 1903.23it/s]
18105it [00:09, 1898.90it/s]
18295it [00:09, 1893.84it/s]
18485it [00:09, 1894.51it/s]
18675it [00:09, 1885.60it/s]
18864it [00:09, 1886.56it/s]
19053it [00:10, 1886.55it/s]
19243it [00:10, 1890.18it/s]
19435it [00:10, 1897.89it/s]
19625it [00:10, 1889.21it/s]
19814it [00:10, 1887.55it/s]
20006it [00:10, 1895.94it/s]
20196it [00:10, 1865.40it/s]
20389it [00:10, 1883.35it/s]
20578it [00:10, 1884.87it/s]
20767it [00:11, 1876.76it/s]
20955it [00:11, 1874.04it/s]
21143it [00:11, 1868.35it/s]
21331it [00:11, 1870.08it/s]
21522it [00:11, 1880.29it/s]
21714it [00:11, 1889.96it/s]
21906it [00:11, 1896.96it/s]
22096it [00:11, 1893.95it/s]
22286it [00:11, 1889.13it/s]
22476it [00:11, 1890.75it/s]
22666it [00:12, 1892.28it/s]
22856it [00:12, 1894.46it/s]
23046it [00:12, 1892.77it/s]
23236it [00:12, 1788.37it/s]
23425it [00:12, 1815.24it/s]
23615it [00:12, 1839.63it/s]
23806it [00:12, 1859.13it/s]
23993it [00:12, 1855.41it/s]
24182it [00:12, 1864.34it/s]
24369it [00:12, 1865.36it/s]
24558it [00:13, 1872.59it/s]
24748it [00:13, 1878.91it/s]
24939it [00:13, 1885.57it/s]
25129it [00:13, 1887.90it/s]
25318it [00:13, 1872.78it/s]
25508it [00:13, 1879.14it/s]
25696it [00:13, 1876.79it/s]
25884it [00:13, 1871.48it/s]
26072it [00:13, 1866.84it/s]
26260it [00:13, 1868.77it/s]
26451it [00:14, 1879.37it/s]
26639it [00:14, 1876.53it/s]
26828it [00:14, 1879.50it/s]
27017it [00:14, 1880.56it/s]
27206it [00:14, 1878.69it/s]
27394it [00:14, 1878.35it/s]
27584it [00:14, 1883.78it/s]
27773it [00:14, 1881.81it/s]
27964it [00:14, 1888.34it/s]
28156it [00:14, 1896.72it/s]
28346it [00:15, 1897.32it/s]
28536it [00:15, 1895.89it/s]
28729it [00:15, 1904.55it/s]
28920it [00:15, 1897.81it/s]
29110it [00:15, 1886.95it/s]
29300it [00:15, 1888.95it/s]
29489it [00:15, 1885.79it/s]
29678it [00:15, 1880.76it/s]
29867it [00:15, 1882.07it/s]
30057it [00:15, 1885.32it/s]
30249it [00:16, 1893.23it/s]
30439it [00:16, 1887.38it/s]
30629it [00:16, 1890.83it/s]
30819it [00:16, 1885.98it/s]
31008it [00:16, 1880.80it/s]
31197it [00:16, 1878.98it/s]
31385it [00:16, 1878.98it/s]
31573it [00:16, 1873.16it/s]
31762it [00:16, 1875.35it/s]
31952it [00:16, 1880.91it/s]
32142it [00:17, 1884.40it/s]
32332it [00:17, 1887.35it/s]
32521it [00:17, 1878.35it/s]
32710it [00:17, 1880.79it/s]
32899it [00:17, 1882.69it/s]
33089it [00:17, 1885.44it/s]
33278it [00:17, 1885.83it/s]
33470it [00:17, 1893.14it/s]
33662it [00:17, 1900.63it/s]
33853it [00:17, 1897.94it/s]
34043it [00:18, 1897.35it/s]
34233it [00:18, 1894.93it/s]
34423it [00:18, 1894.46it/s]
34613it [00:18, 1892.60it/s]
34803it [00:18, 1781.38it/s]
34990it [00:18, 1803.69it/s]
35181it [00:18, 1831.88it/s]
35369it [00:18, 1845.75it/s]
35560it [00:18, 1862.28it/s]
35750it [00:18, 1872.28it/s]
35940it [00:19, 1877.39it/s]
36131it [00:19, 1886.17it/s]
36322it [00:19, 1890.85it/s]
36514it [00:19, 1898.24it/s]
36705it [00:19, 1897.85it/s]
36896it [00:19, 1900.72it/s]
37087it [00:19, 1896.76it/s]
37277it [00:19, 1894.21it/s]
37467it [00:19, 1885.35it/s]
37657it [00:19, 1888.53it/s]
37847it [00:20, 1889.55it/s]
38041it [00:20, 1902.29it/s]
38232it [00:20, 1897.75it/s]
38423it [00:20, 1899.96it/s]
38615it [00:20, 1902.70it/s]
38806it [00:20, 1904.22it/s]
38997it [00:20, 1898.74it/s]
39187it [00:20, 1895.75it/s]
39377it [00:20, 1896.83it/s]
39567it [00:21, 1894.97it/s]
39757it [00:21, 1890.17it/s]
39948it [00:21, 1893.00it/s]
40140it [00:21, 1898.15it/s]
40331it [00:21, 1899.36it/s]
40521it [00:21, 1894.86it/s]
40711it [00:21, 1892.18it/s]
40901it [00:21, 1883.53it/s]
41090it [00:21, 1881.85it/s]
41281it [00:21, 1889.22it/s]
41473it [00:22, 1898.27it/s]
41667it [00:22, 1909.01it/s]
41858it [00:22, 1907.86it/s]
42053it [00:22, 1919.87it/s]
42245it [00:22, 1919.00it/s]
42437it [00:22, 1912.11it/s]
42629it [00:22, 1910.49it/s]
42821it [00:22, 1908.98it/s]
43014it [00:22, 1914.97it/s]
43206it [00:22, 1908.44it/s]
43397it [00:23, 1903.18it/s]
43588it [00:23, 1902.83it/s]
43779it [00:23, 1889.34it/s]
43968it [00:23, 1878.18it/s]
44156it [00:23, 1875.37it/s]
44347it [00:23, 1882.72it/s]
44536it [00:23, 1882.24it/s]
44726it [00:23, 1885.09it/s]
44915it [00:23, 1878.68it/s]
45104it [00:23, 1879.73it/s]
45292it [00:24, 1876.66it/s]
45480it [00:24, 1868.90it/s]
45667it [00:24, 1850.75it/s]
45856it [00:24, 1859.77it/s]
46043it [00:24, 1850.85it/s]
46232it [00:24, 1862.03it/s]
46419it [00:24, 1799.29it/s]
46600it [00:24, 1775.60it/s]
46790it [00:24, 1810.00it/s]
46978it [00:24, 1829.36it/s]
47164it [00:25, 1837.21it/s]
47354it [00:25, 1852.83it/s]
47540it [00:25, 1851.11it/s]
47727it [00:25, 1855.35it/s]
47916it [00:25, 1865.33it/s]
48108it [00:25, 1879.66it/s]
48297it [00:25, 1882.27it/s]
48486it [00:25, 1881.90it/s]
48675it [00:25, 1874.21it/s]
48863it [00:25, 1868.02it/s]
49050it [00:26, 1865.65it/s]
49237it [00:26, 1864.18it/s]
49424it [00:26, 1857.70it/s]
49614it [00:26, 1870.06it/s]
49805it [00:26, 1880.19it/s]
49994it [00:26, 1879.12it/s]
50186it [00:26, 1889.24it/s]
50375it [00:26, 1887.15it/s]
50564it [00:26, 1882.78it/s]
50754it [00:26, 1885.63it/s]
50943it [00:27, 1877.12it/s]
51131it [00:27, 1873.80it/s]
51320it [00:27, 1878.09it/s]
51509it [00:27, 1880.26it/s]
51698it [00:27, 1878.75it/s]
51886it [00:27, 1878.42it/s]
52074it [00:27, 1870.96it/s]
52262it [00:27, 1873.32it/s]
52450it [00:27, 1872.54it/s]
52640it [00:27, 1879.22it/s]
52829it [00:28, 1880.80it/s]
53018it [00:28, 1870.87it/s]
53208it [00:28, 1878.73it/s]
53396it [00:28, 1876.11it/s]
53584it [00:28, 1871.18it/s]
53772it [00:28, 1869.74it/s]
53960it [00:28, 1872.09it/s]
54148it [00:28, 1868.75it/s]
54335it [00:28, 1865.65it/s]
54522it [00:28, 1861.60it/s]
54709it [00:29, 1863.84it/s]
54896it [00:29, 1862.19it/s]
55083it [00:29, 1864.18it/s]
55272it [00:29, 1870.63it/s]
55460it [00:29, 1864.06it/s]
55647it [00:29, 1855.44it/s]
55833it [00:29, 1854.33it/s]
56019it [00:29, 1855.11it/s]
56205it [00:29, 1850.80it/s]
56391it [00:29, 1846.67it/s]
56576it [00:30, 1845.96it/s]
56763it [00:30, 1850.93it/s]
56951it [00:30, 1859.49it/s]
57140it [00:30, 1867.17it/s]
57327it [00:30, 1865.22it/s]
57514it [00:30, 1865.15it/s]
57701it [00:30, 1864.75it/s]
57888it [00:30, 1728.93it/s]
58073it [00:30, 1762.65it/s]
58258it [00:31, 1786.18it/s]
58445it [00:31, 1809.25it/s]
58633it [00:31, 1827.88it/s]
58821it [00:31, 1841.31it/s]
59007it [00:31, 1845.60it/s]
59195it [00:31, 1854.40it/s]
59383it [00:31, 1859.37it/s]
59572it [00:31, 1867.95it/s]
59761it [00:31, 1872.49it/s]
59949it [00:31, 1874.64it/s]
60137it [00:32, 1873.99it/s]
60326it [00:32, 1875.98it/s]
60514it [00:32, 1875.71it/s]
60702it [00:32, 1868.60it/s]
60890it [00:32, 1871.26it/s]
61078it [00:32, 1873.72it/s]
61267it [00:32, 1878.12it/s]
61457it [00:32, 1882.76it/s]
